id,country
1,Mexico
2,Singapore
3,United States
4,Turkey
5,Egypt
6,India
7,Thailand
8,Nigeria
9,Norway
10,Iceland
11,South Korea
12,Italy
13,Indonesia
14,Canada
15,Romania
16,Spain
17,South Africa
18,France
19,Portugal
20,Hong Kong
21,China
22,Germany
23,United Kingdom
24,Argentina
25,Serbia
26,Denmark
27,Poland
28,Japan
29,Kenya
30,New Zealand
31,Pakistan
32,Australia
33,Taiwan
34,Netherlands
35,Philippines
36,United Arab Emirates
37,Brazil
38,Iran
39,Belgium
40,Israel
41,Uruguay
42,Bulgaria
43,Chile
44,Algeria
45,Soviet Union
46,Malaysia
47,Ireland
48,Luxembourg
49,Colombia
50,Sweden
51,Austria
52,Peru
53,Senegal
54,Switzerland
55,Ghana
56,Saudi Arabia
57,Namibia
58,Finland
59,Lebanon
60,Qatar
61,Vietnam
62,Russia
63,Jordan
64,Malta
65,Kuwait
66,Czech Republic
67,Bahamas
68,Sri Lanka
69,Cayman Islands
70,Bangladesh
71,Zimbabwe
72,Hungary
73,Latvia
74,Liechtenstein
75,Venezuela
76,Cambodia
77,Albania
78,Nicaragua
79,Greece
80,"Cambodia,"
81,Croatia
82,Guatemala
83,"Poland,"
84,Slovenia
85,Dominican Republic
86,Nepal
87,West Germany
88,Bermuda
89,Ecuador
90,Morocco
91,Georgia
92,Iraq
93,Vatican City
94,Angola
95,Jamaica
96,Malawi
97,Slovakia
98,Lithuania
99,Afghanistan
100,Paraguay
101,Somalia
102,Sudan
103,Panama
104,East Germany
105,Montenegro
